Id,smiles,T_exp
1,c1cc2c(cc1)cccc2C(=O)C,2.44577237
2,c1c(cccc1)C(=O)C,3.191646213
3,C(=O)(C(=O)CC)C,2.372052281
4,c1(=O)cc(oc2c1ccc1c2cccc1)c1ccccc1,2.697287968
5,c1cc2c(cc1)cccc2C=O,2.441435894
6,c1cc2c(cc1)cccc2C(=O)c1ccccc1,2.493473604
7,c1cc2c(cc1)C(=O)c1c(cccc1)C2=O,2.70596092
8,c1cc2c(cc1)ccc(c2)C(=O)C,2.571530169
9,c1c(cccc1)C=O,3.117926124
10,c1c(cccc1)C(=O)C(=O)c1ccccc1,2.328687522
11,c1ccc(cc1)C(=O)c1ccccc1 ,2.684278541
12,c1ccc2c(-c3c(C2C(=O)c2ccccc2)cccc3)c1,2.896765856
13,C(=O)(C(=O)C)C,2.380725232
14,c1cc(ccc1N(C)C)C(=O)c1ccc(cc1)N(C)C,2.645250258
15,c1cc2c(cc1)ccc(c2)C(=O)c1ccccc1,2.584539596
16,c1cc2c(cc1)ccc(c2)C=O,2.580203121
17,c1ccc2c(c1)c1c(cccc1)[nH]2,3.039869559
18,c1(ccc(cc1)C(=O)C)C(=O)C,2.935794139
19,c1ccc2c(c1)c1c(cccc1)s2,3.022523655
20,c1(c(cccc1)C(=O)c1ccccc1)C(=O)c1ccccc1,3.022523655
21,c1(ccc(cc1)C(=O)c1ccc(cc1)Cl)Cl,2.948803566
22,c1ccc2c(c1)c1c(cccc1)o2,3.039869559
23,c1c(cccc1)CC(=O)Cc1ccccc1,3.130935551
24,CCOC(=O)C(=O)c1ccccc1,2.684278541
25,c1c2c(ccc1)oc(cc2=O)c1ccccc1,2.688615016
26,c1ccc2c(-c3c(C2)cccc3)c1,2.931457663
27,c1cc2-c3c(cccc3)C(=O)c2cc1,2.311341619
28,c1cc(ccc1)C(=O)CCC,3.169963834
29,c12cc3c(cc1C(=O)c1ccccc1C2=O)cccc3,2.419753515
30,c1cc2c(cc1)cccc2 ,2.640913782
31,c1ccc(cc1)C(=O)c1ccc(cc1)C#N,2.879419953
32,c1cc2c(cc1)c1c(cc2)cccc1,2.697287968
