Id,smiles,T_exp,T_scf,error
11,c1ccc(cc1)C(=O)c1ccccc1 ,2.684278541,3.032985664,-0.348707123
126,c1cc2c(cc1)cc1c(cccc1)n2        ,1.95,1.930053635,0.019946365
52,c12c(ccc3c1cccc3)c1c(cccc1)cc2,2.490030442,2.921319031,-0.431288589
12,c1ccc2c(-c3c(C2C(=O)c2ccccc2)cccc3)c1,2.896765856,3.194535311,-0.297769455
128,c12c(cccc1)occ2 ,3.05,3.201615418,-0.151615418
78,c12c3c(c4c(c1)c1c(c(n4)CCCC)cccc1)n1c4ccc(cc4c4c1c(b3c1c3n2c2c(c3cc(c1)C(C)(C)C)cc(cc2)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.190028491,2.314602228,-0.124573737
81,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2)c1c4cc(cc1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2,2.330030312,2.330506475,-0.000476163
135,b12c3cc(ccc3oc3c2c(ccc3)n2-c3c(cccc3)C(c3c2c1ccc3)(C)C)C(C)(C)C ,2.66,2.577089923,0.082910077
132,b12c3cccc4c3n(c3c1c(ccc3)oc1c2cccc1)c1c4cccc1   ,2.63,2.66887588,-0.03887588
1,c1cc2c(cc1)cccc2C(=O)C,2.44577237,2.768295778,-0.322523408
127,b12c3cc(cc4c3n(c3c1c(ccc3)sc1c2cc(cc1)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C     ,2.58,2.560838459,0.019161541
102,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(C)(C)C)(C)C,2.470032133,2.4877051,-0.017672967
41,c\1/2=C\C3=N/C(=C\c4ccc(/C=C\5/N=C(/C=c(/cc1)\[nH]2)C=C5)[nH]4)/C=C3 ,1.570020425,1.26471,0.305310425
25,c1c2c(ccc1)oc(cc2=O)c1ccccc1,2.688615016,2.980249563,-0.291634547
61,c12c(ccc3c1ccc1c3cccc1)c1c(cccc1)cc2,2.490030442,3.00698958,-0.516959138
125,c1cc2c(cc1)cccn2        ,2.68,2.785865934,-0.105865934
95,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.190028491,2.272213126,-0.082184635
45,c1cc2c3c(c1)ccc1c3c(c3c2cccc3)ccc1,2.29002784,2.694021391,-0.403993551
16,c1cc2c(cc1)ccc(c2)C=O,2.580203121,2.926654479,-0.346451358
120,n12c3c(cc(cc3)c3ccccc3)c(=O)c3c2c(cc(c3)c2ccc(cc2)n2c3ccccc3c3c2cccc3)c(=O)c2c1ccc(c2)c1ccccc1  ,2.38,2.323173547,0.056826453
40,c1cc2c(cc1)c(=O)c1c(cccc1)o2,3.217665068,3.283765682,-0.066100614
23,c1c(cccc1)CC(=O)Cc1ccccc1,3.130935551,3.538446127,-0.407510576
56,c1cc2c3c(c1)c1cccc4c1c(c3ccc2)ccc4,1.530021422,1.826633172,-0.29661175
130,c1cc2c(cc1)cc1c(c2)c(ccc1)N     ,1.86,1.737842782,0.122157218
99,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1cnc(nc1)c1ccccc1)C(C)(C)C)(C)C,2.320030182,2.458734211,-0.138704029
48,c1cc2c(cc1)c(c1c(c2c2ccccc2)cccc1)c1ccccc1,1.770023677,2.080856302,-0.310832625
31,c1ccc(cc1)C(=O)c1ccc(cc1)C#N,2.879419953,2.933420349,-0.054000396
