Id,smiles,T_exp,T_td,error
11,c1ccc(cc1)C(=O)c1ccccc1 ,2.684278541,2.9031,-0.218821459
126,c1cc2c(cc1)cc1c(cccc1)n2        ,1.95,1.9187,0.0313
52,c12c(ccc3c1cccc3)c1c(cccc1)cc2,2.490030442,2.5046,-0.014569558
12,c1ccc2c(-c3c(C2C(=O)c2ccccc2)cccc3)c1,2.896765856,3.013,-0.116234144
128,c12c(cccc1)occ2 ,3.05,3.3075,-0.2575
78,c12c3c(c4c(c1)c1c(c(n4)CCCC)cccc1)n1c4ccc(cc4c4c1c(b3c1c3n2c2c(c3cc(c1)C(C)(C)C)cc(cc2)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.190028491,2.2401,-0.050071509
81,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2)c1c4cc(cc1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2,2.330030312,2.2414,0.088630312
135,b12c3cc(ccc3oc3c2c(ccc3)n2-c3c(cccc3)C(c3c2c1ccc3)(C)C)C(C)(C)C ,2.66,2.5739,0.0861
132,b12c3cccc4c3n(c3c1c(ccc3)oc1c2cccc1)c1c4cccc1   ,2.63,2.6455,-0.0155
1,c1cc2c(cc1)cccc2C(=O)C,2.44577237,2.4411,0.00467237
127,b12c3cc(cc4c3n(c3c1c(ccc3)sc1c2cc(cc1)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C     ,2.58,2.4751,0.1049
102,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(C)(C)C)(C)C,2.470032133,2.4168,0.053232133
41,c\1/2=C\C3=N/C(=C\c4ccc(/C=C\5/N=C(/C=c(/cc1)\[nH]2)C=C5)[nH]4)/C=C3 ,1.570020425,1.0957,0.474320425
25,c1c2c(ccc1)oc(cc2=O)c1ccccc1,2.688615016,2.6965,-0.007884984
61,c12c(ccc3c1ccc1c3cccc1)c1c(cccc1)cc2,2.490030442,2.487,0.003030442
125,c1cc2c(cc1)cccn2        ,2.68,2.8302,-0.1502
95,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1c4cc(cc1)C(C)(C)C)C(C)(C)C,2.190028491,2.165,0.025028491
45,c1cc2c3c(c1)ccc1c3c(c3c2cccc3)ccc1,2.29002784,2.3436,-0.05357216
16,c1cc2c(cc1)ccc(c2)C=O,2.580203121,2.5771,0.003103121
120,n12c3c(cc(cc3)c3ccccc3)c(=O)c3c2c(cc(c3)c2ccc(cc2)n2c3ccccc3c3c2cccc3)c(=O)c2c1ccc(c2)c1ccccc1  ,2.38,2.2977,0.0823
40,c1cc2c(cc1)c(=O)c1c(cccc1)o2,3.217665068,3.0923,0.125365068
23,c1c(cccc1)CC(=O)Cc1ccccc1,3.130935551,3.4397,-0.308764449
56,c1cc2c3c(c1)c1cccc4c1c(c3ccc2)ccc4,1.530021422,1.5465,-0.016478578
130,c1cc2c(cc1)cc1c(c2)c(ccc1)N     ,1.86,1.7446,0.1154
99,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1cnc(nc1)c1ccccc1)C(C)(C)C)(C)C,2.320030182,2.3868,-0.066769818
48,c1cc2c(cc1)c(c1c(c2c2ccccc2)cccc1)c1ccccc1,1.770023677,1.76,0.010023677
31,c1ccc(cc1)C(=O)c1ccc(cc1)C#N,2.879419953,2.7289,0.150519953
82,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccc(cc1)C)c1ccc(cc1)C)N(c1ccc(cc1)C)c1ccc(cc1)C)c1c4cc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)N(c1ccc(cc1)C)c1ccc(cc1)C,2.030026409,1.9684,0.061626409
134,b12c3cc(ccc3oc3c2c(ccc3)n2c3c1cccc3c1c2cccc1)C(C)(C)C,2.76,2.6346,0.1254
10,c1c(cccc1)C(=O)C(=O)c1ccccc1,2.328687522,1.81,0.518687522
34,c1cc(ccc1)C(=O)CC,3.235010971,3.1724,0.062610971
111,Cc1cc(C)c(c(c1)C)b1c2ccc(cc2n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,2.600033825,2.7642,-0.164166175
26,c1ccc2c(-c3c(C2)cccc3)c1,2.931457663,3.0903,-0.158842337
85,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccc(cc2)C)c2ccc(cc2)C)n2c3c1cc(cc3c1c2ccc(c1)C(C)(C)C)C(C)(C)C)c1ccc(cc1)C)C,2.470032133,2.5276,-0.057567867
63,c1cc2c(cc1)nccn2,2.640034345,2.749,-0.108965655
29,c12cc3c(cc1C(=O)c1ccccc1C2=O)cccc3,2.419753515,2.4372,-0.017446485
67,b12c3ccccc3n(c3c2c(ccc3)n(c2c1cccc2)c1ccccc1)c1ccccc1,2.490032393,2.6303,-0.140267607
70,b12c3cc(ccc3n(c3c2c(ccc3)n(c2c1cc(cc2)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C,2.630034215,2.5687,0.061334215
54,c1ccc(cc1)/C=C/c1ccccc1 ,2.14002784,2.3084,-0.16837216
6,c1cc2c(cc1)cccc2C(=O)c1ccccc1,2.493473604,2.544,-0.050526396
79,b12c3cccc4c3n(c3c2c(ccc3)n2c3c1cccc3c1c2cccc1)c1c4cccc1,2.470032133,2.5067,-0.036667867
84,b12c3cc(ccc3n(c3c2c(cc(c3)N(c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)n(c2c1cc(cc2)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C  ,2.570033434,2.6362,-0.066166566
50,c1cc2c(cc1)nc1c(cccc1)n2   ,1.930025108,1.8531,0.076925108
36,C(=O)(C(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1 ,3.178636785,3.0376,0.141036785
35,c1cc2c3c(c1)ccc1c3c(cc2)ccc1,2.111863731,2.1331,-0.021236269
96,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1c4cc(cc1)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,2.14002784,2.041,0.09902784
