Id,smiles,T_exp,T_stda,error
11,c1ccc(cc1)C(=O)c1ccccc1 ,2.684278541,3.593,-0.908721459
126,c1cc2c(cc1)cc1c(cccc1)n2        ,1.95,2.636,-0.686
52,c12c(ccc3c1cccc3)c1c(cccc1)cc2,2.490030442,3.261,-0.770969558
12,c1ccc2c(-c3c(C2C(=O)c2ccccc2)cccc3)c1,2.896765856,3.379,-0.482234144
128,c12c(cccc1)occ2 ,3.05,4.332,-1.282
78,c12c3c(c4c(c1)c1c(c(n4)CCCC)cccc1)n1c4ccc(cc4c4c1c(b3c1c3n2c2c(c3cc(c1)C(C)(C)C)cc(cc2)C(C)(C)C)cc(c4)C(C)(C)C)C(C)(C)C,2.190028491,2.232,-0.041971509
81,b12c3cc(cc4c3n(c3c2c(ccc3)n2c3c1cc(cc3c1c2ccc(c1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2)c1c4cc(cc1)n1c2ccccc2c2c1cccc2)n1c2c(cccc2)c2c1cccc2,2.330030312,2.119,0.211030312
135,b12c3cc(ccc3oc3c2c(ccc3)n2-c3c(cccc3)C(c3c2c1ccc3)(C)C)C(C)(C)C ,2.66,2.676,-0.016
132,b12c3cccc4c3n(c3c1c(ccc3)oc1c2cccc1)c1c4cccc1   ,2.63,2.783,-0.153
1,c1cc2c(cc1)cccc2C(=O)C,2.44577237,3.313,-0.86722763
127,b12c3cc(cc4c3n(c3c1c(ccc3)sc1c2cc(cc1)C(C)(C)C)c1c4cc(cc1)C(C)(C)C)C(C)(C)C     ,2.58,2.547,0.033
102,CC(c1ccc2c(c1)c1cc(cc3c1n2c1cc(cc2c1b3c1cc(cc3c1n2c1ccc(cc31)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(C)(C)C)(C)C,2.470032133,2.44,0.030032133
41,c\1/2=C\C3=N/C(=C\c4ccc(/C=C\5/N=C(/C=c(/cc1)\[nH]2)C=C5)[nH]4)/C=C3 ,1.570020425,1.983,-0.412979575
25,c1c2c(ccc1)oc(cc2=O)c1ccccc1,2.688615016,3.413,-0.724384984
61,c12c(ccc3c1ccc1c3cccc1)c1c(cccc1)cc2,2.490030442,3.269,-0.778969558
125,c1cc2c(cc1)cccn2        ,2.68,3.788,-1.108
